IntentID,Name,Description,Examples,Response
26,DiscountInquiry,سوال درباره تخفیف,تخفیف دارید؟، قیمت با تخفیف چنده؟,فعلاً تخفیفی نداریم / تخفیف ویژه به مناسبت فلان...
27,ComplaintStatus,پیگیری شکایت,شکایتم رو پیگیری می‌کنم,لطفا شماره پیگیری شکایت‌تون رو بفرمایید.
28,ReturnRequest,درخواست بازگشت کالا,می‌خوام محصول رو پس بدم,لطفا شماره سفارش و دلیل بازگشت رو بفرمایید.
29,ProductComparison,مقایسه محصولات,این محصول بهتره یا اون؟,هر دو مزایا و معایب خاص خودش رو دارن...
30,RefundStatus,وضعیت بازپرداخت,پولم رو کی پس می‌دید؟,معمولاً بازپرداخت تا ۷ روز کاری انجام می‌شود.
31,OrderModification,تغییر سفارش,می‌خوام سفارش رو تغییر بدم,لطفا تغییرات مد نظرتون رو بفرمایید.
32,AccountRegistration,ثبت‌نام حساب کاربری,می‌خوام ثبت‌نام کنم، چگونه حساب بسازم؟,برای ثبت‌نام لطفا اطلاعات زیر رو ارسال کنید...
33,PasswordReset,فراموشی رمز عبور,رمز عبورم رو فراموش کردم,لینک بازیابی رمز عبور به ایمیل شما ارسال شد.
34,ShippingCost,هزینه ارسال,هزینه ارسال چقدره؟,هزینه ارسال بر اساس مسافت و وزن محاسبه می‌شود.
35,SupportHours,ساعات پشتیبانی,ساعات کاری پشتیبانی چیه؟,پشتیبانی از ۸ صبح تا ۸ شب همه روزه فعال است.
36,ProductFeatures,ویژگی‌های محصول,ویژگی‌های این دستگاه چیه؟,این دستگاه شامل موارد زیر است...
37,UpgradeProduct,ارتقا محصول,می‌خوام محصول رو ارتقا بدم,لطفا مدل فعلی و مدل مورد نظر رو بفرمایید.
38,BulkOrder,سفارش عمده,سفارش عمده دارید؟,بله، برای سفارش عمده با بخش فروش تماس بگیرید.
39,WarrantyClaim,درخواست گارانتی,می‌خوام از گارانتی استفاده کنم,لطفا شماره فاکتور و مشکل دستگاه رو ارسال کنید.
40,TechnicalQuestion,سوال فنی,این قطعه چطوری کار می‌کنه؟,این قطعه وظیفه ... رو بر عهده داره و ...
41,ProductManual,درخواست دفترچه راهنما,دفترچه راهنمای محصول رو می‌خوام,لینک دانلود دفترچه راهنما: [لینک]
42,SoftwareUpdate,آپدیت نرم‌افزار,نرم‌افزار دستگاه رو چطوری آپدیت کنم؟,مراحل آپدیت به شرح زیر است...
45,ProvideProvince,کاربر استان محل سکونت خود را وارد می‌کند,تهران، آذربایجان غربی، کردستان، مازندران، خراسان رضوی، البرز، اصفهان، فارس,عالیه 🌟 حالا لطفاً شهر محل سکونت خود را هم بنویسید.
47,ProvideCity,کاربر شهر محل سکونت خود را وارد می‌کند,سقز، سنندج، کرمانشاه، مشهد، رشت، تبریز، تهران، شیراز، اصفهان، بوشهر,ممنون 😇 حالا لطفاً آدرس دقیق‌تون رو بفرمایید.
48,ProvideAddress,کاربر آدرس دقیق خود را وارد می‌کند,خیابان آزادی، کوچه بهار ۱۲، بلوار کشاورز، میدان آزادی پلاک ۵، خیابان ولیعصر کوچه ۹، برج میلاد واحد ۲۵,بسیار خوب! 🙏 حالا لطفاً جنسیت خودتون رو مشخص کنید (آقا یا خانم).
49,ProvideGender,کاربر جنسیت خود را مشخص می‌کند,آقا، مرد، آقای، خانم، زن، خانوم,ممنون از شما 🎉 اطلاعات شما با موفقیت ثبت شد.
